source_metadata_id,ark,manifest_url
99114250863506421,ark:/88435/05742226t,https://figgy.princeton.edu/concern/scanned_resources/32504c73-146e-4696-a381-4c12f3fd3662/manifest
99114256643506421,ark:/88435/s1784w359,https://figgy.princeton.edu/concern/scanned_resources/331556c4-4b81-44d0-a6ca-79d310849bca/manifest
99114256683506421,ark:/88435/2v23w401j,https://figgy.princeton.edu/concern/scanned_resources/edfdfb6a-ef27-46a8-8bcf-23a9c1975523/manifest
99114258013506421,ark:/88435/w0892m576,https://figgy.princeton.edu/concern/scanned_resources/736526cf-fdab-4dd2-a8e2-3f62b8a33853/manifest
9947265553506421,ark:/88435/sx61dw902,https://figgy.princeton.edu/concern/scanned_resources/c274ded0-256a-4151-ba98-7d374ab6704c/manifest
99114248983506421,ark:/88435/db78tn68m,https://figgy.princeton.edu/concern/scanned_resources/814369d9-e7f5-4cb9-96ae-106fcce88060/manifest
9930518523506421,ark:/88435/qr46r9438,https://figgy.princeton.edu/concern/scanned_resources/1f734349-9191-4b87-9c84-96abff661452/manifest
99114256333506421,ark:/88435/pc289t707,https://figgy.princeton.edu/concern/scanned_resources/1fce2a16-c67a-4e04-be74-5c2e6a2c3b37/manifest
99114250243506421,ark:/88435/dc1n79hd93d,https://figgy.princeton.edu/concern/scanned_resources/45257a62-9e1d-4178-af0b-98e4b75f6e5f/manifest
9963566723506421,ark:/88435/5d86p0963,https://figgy.princeton.edu/concern/scanned_resources/6af6ef26-3c37-4b87-806b-4ddabc7f4803/manifest
99114249273506421,ark:/88435/dc7m01bw88h,https://figgy.princeton.edu/concern/scanned_resources/69e7d33f-22c4-4813-82d2-a9cf6e0b8131/manifest
99114250813506421,ark:/88435/fb494g35t,https://figgy.princeton.edu/concern/scanned_resources/32259322-3dac-431a-b3dc-af43c80193ed/manifest
9925172293506421,ark:/88435/dcw6634d432,https://figgy.princeton.edu/concern/scanned_resources/840522fa-16e6-4add-9497-c8c192b3d751/manifest
99114249193506421,ark:/88435/dc3197xw71b,https://figgy.princeton.edu/concern/scanned_resources/dc81035b-2087-4344-b414-a1637483ab28/manifest
99114251173506421,ark:/88435/v979v900h,https://figgy.princeton.edu/concern/scanned_resources/1f611d00-dd0f-4cad-825c-1c4a3fe28116/manifest
99114261033506421,ark:/88435/dcxg94j036c,https://figgy.princeton.edu/concern/scanned_resources/1e906c48-4c2a-421b-ae1c-cb7afb2d873d/manifest
99114263203506421,ark:/88435/dczw12zg096,https://figgy.princeton.edu/concern/scanned_resources/76c8cad0-46b7-4f8e-82ee-cca26f775d7e/manifest
